nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  6/23/2025 4:09:43 PM 193.181.177.11 GET /
 HTTP  6/23/2025 4:09:43 PM 193.181.177.11 Returned 200 in 98 ms
 HTTP  6/23/2025 7:05:18 PM 106.75.13.123 GET /
 HTTP  6/23/2025 7:05:18 PM 106.75.13.123 Returned 200 in 5 ms
 HTTP  6/23/2025 7:15:06 PM 106.75.128.199 GET /
 HTTP  6/23/2025 7:15:06 PM 106.75.128.199 Returned 200 in 1 ms
 HTTP  6/23/2025 7:15:07 PM 106.75.128.199 GET /favicon.ico
 HTTP  6/23/2025 7:15:07 PM 106.75.128.199 Returned 200 in 3 ms
 HTTP  6/23/2025 7:15:08 PM 106.75.128.199 GET /static/js/2.adf17f9f.chunk.js
 HTTP  6/23/2025 7:15:08 PM 106.75.128.199 Returned 200 in 2 ms
 HTTP  6/23/2025 9:16:49 PM 205.210.31.148 GET /
 HTTP  6/23/2025 9:16:49 PM 205.210.31.148 Returned 200 in 1 ms
 HTTP  6/24/2025 12:15:10 AM 172.104.11.4 GET /
 HTTP  6/24/2025 12:15:10 AM 172.104.11.4 Returned 200 in 2 ms
 HTTP  6/24/2025 12:59:06 AM 71.6.232.27 GET /
 HTTP  6/24/2025 12:59:06 AM 71.6.232.27 Returned 200 in 2 ms
